Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1464,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(omkonsortietsContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1464,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(omkonsortietsContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1434,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(omkonsortietsContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1434,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(omkonsortietsContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1370,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(homeContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1370,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(homeContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1340,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(homeContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,1340,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(homeContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,177,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(forvaltningContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,177,20,T:System.Text.Json.JsonDocument,,,,,var metadata = JsonDocument.Parse(forvaltningContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,134,20,T:System.Text.Json.JsonDocument,,,,,var md = JsonDocument.Parse(forvaltningContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Data\Seed\ContentSeed.cs,134,20,T:System.Text.Json.JsonDocument,,,,,var md = JsonDocument.Parse(forvaltningContent.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Services\RecaptchaService.cs,47,12,T:System.Net.Http.HttpContent,,,,,var payload = await response.Content.ReadFromJsonAsync<RecaptchaApiResponse>(cancellationToken: ct);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Services\RecaptchaService.cs,36,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var minScore = _config.GetValue<double?>(""Recaptcha:MinimumScore"") ?? 0.5;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Services\EmailTemplateService.cs,65,8,T:System.Uri,,,,,"return Uri.EscapeDataString(_templates.DevelopmentSuggestionReplyTemplate              .Replace(""{Name}"", suggestion.Name ?? """")              .Replace(""{SubmittedAt}"", suggestion.SubmittedAt.ToString(""yyyy-MM-dd""))              .Replace(""{RequirementPreview}"", requirementPreview));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Filters\RoleAuthFilter.cs,34,8,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var trustedOrigins = _configuration.GetSection(""ApiSettings:TrustedOrigins"")             .Get<string[]>() ?? new[] { ""https://localhost:7262"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Controllers\ContentController.cs,290,20,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(b.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Controllers\ContentController.cs,290,20,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(b.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Controllers\ContentController.cs,244,16,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(b.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Controllers\ContentController.cs,244,16,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(b.Metadata);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,187,12,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,builder.Logging.AddConsole();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,170,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"options.AddPolicy(""Upload"", httpContext =>                  RateLimitPartition.GetTokenBucketLimiter(                      partitionKey: httpContext.Connection.RemoteIpAddress?.ToString() ?? ""localhost"",                      factory: _ => new TokenBucketRateLimiterOptions                      {                          TokenLimit = 10,                          QueueProcessingOrder = QueueProcessingOrder.OldestFirst,                          QueueLimit = 3,                          ReplenishmentPeriod = TimeSpan.FromMinutes(1),                          TokensPerPeriod = 5,                          AutoReplenishment = true                      }));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,156,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"options.AddPolicy(""Admin"", httpContext =>                  RateLimitPartition.GetTokenBucketLimiter(                      partitionKey: httpContext.User?.Identity?.Name ?? ""anonymous"",                      factory: _ => new TokenBucketRateLimiterOptions                      {                          TokenLimit = 100,                          QueueProcessingOrder = QueueProcessingOrder.OldestFirst,                          QueueLimit = 10,                          ReplenishmentPeriod = TimeSpan.FromMinutes(1),                          TokensPerPeriod = 60,                          AutoReplenishment = true                      }));"
